start_station_name,casual_user,member_user
Vincennes Ave & 75th St,67,13
Kostner Ave & Armitage Ave,66,71
Washtenaw Ave & Peterson Ave,66,52
California & 16th St,66,44
Major Taylor Trail & 115th St,66,33
Bennett Ave & 79th St,66,10
Homan Ave & 65th St,66,9
Public Rack - Lowell Ave & Elston Ave,65,61
Homewood Ave & 115th St,64,59
Public Rack - Monticello Ave & Belmont Ave,64,36
Greenwood Ave & 79th St,64,19
Halsted St & 73rd St,63,81
Meade Ave & Diversey Ave,63,34
Avenue O & 134th St,62,21
State St & 76th St,62,19
Ashland Ave & 74th St,62,19
Karlov Ave & Madison St,61,33
Torrence Ave & 126th Pl,61,6
Evans Ave & 75th St,60,135
Public Rack - Lawndale Ave & Diversey Ave,60,114
Public Rack - Spaulding Ave & North Ave,60,89
Komensky Ave & 55th St,60,70
Dauphin Ave & 103rd St,60,31
Midway Orange Line,60,28
Virginia Ave & Catalpa Ave,59,74
Ashland Ave & 50th St,59,51
Michigan Ave & 71st St,59,19
Kostner Ave & Lake St,59,12
Long Ave & Belden Ave,58,83
Pulaski Rd & 60th St,57,6
Maplewood Ave & 59th St,57,3
Eastlake Ter & Howard St,56,124
Washtenaw Ave & Madison St,56,53
Public Rack - Milwaukee Ave & Haussen Ct,56,48
Altgeld Gardens,56,4
Public Rack - Spaulding Ave & Evergreen Ave,55,101
Kildare Ave & 47th St,55,44
Central Ave & Parker Ave,55,43
Kenton Ave & Madison St,55,28
La Villita Park (Albany/30th),55,10
Halsted St & 104th St,54,45
Fairfield Ave & 44th St,54,19
Ewing Ave & Burnham Greenway,53,41
Halsted St & 111th St,53,29
South Chicago Ave & 83rd St,53,18
Ashland Ave & 78th St,53,14
Mason Ave & Belmont Ave,53,10
MLK Jr Dr & 83rd St,52,99
N Clark St & W Elm St,52,85
Loomis Blvd & 84th St,52,56
Throop St & 52nd St,52,37
Kostner Ave & 63rd St,52,14
Racine Ave & 109th Pl,52,11
Vincennes Ave & 104th St,51,41
Eggleston Ave & 92nd St,51,2
Richmond St & Lincoln Ave,50,52
Halsted St & 69th St,50,26
Racine Ave & 65th St,50,5
California Ave & Marquette Rd,49,29
Green St & Madison Ave*,48,164
East End Ave & 87th St,48,58
Campbell Ave & 51st St,48,7
Eberhart Ave & 131st St,48,6
Cicero Ave & Flournoy St,47,28
Public Rack - Washtenaw Ave & Devon Ave,46,90
Public Rack - Cicero Ave & Wrightwood Ave,46,90
Elizabeth St & 47th St,46,59
Public Rack - Mozart Elementary School,46,38
Western Ave & Lake St,46,34
California Ave & 36th St,46,6
Kostner Ave & Adams St,45,174
Damen Ave & 33rd St,45,20
Monticello Ave & Chicago Ave,44,52
Oglesby Ave & 100th St,44,41
Hoyne Ave & 34th St,44,28
Halsted St & 59th St,44,18
Oketo Ave & Addison St,43,11
Racine Ave & 61st St,43,9
Hyde Park Blvd & 55th St,42,55
Greenwood Ave & 97th St,42,50
Robert Fulton Elementary School,42,1
Public Rack - Kedzie Ave & Argyle St,41,67
Central Park Ave & Douglas Blvd,41,31
Spaulding Ave & 63rd St,41,23
Rhodes Ave & 71st St,41,13
May St & 69th St,40,145
Meade Ave & Addison St,40,31
Commercial Ave & 100th St,40,19
Laramie Ave & Gladys Ave,39,18
Francisco Ave & Hollywood Ave,38,21
Harlem Ave & Grace St,37,18
Woodlawn Ave & 75th St,37,18
Public Rack - Kostner Ave & Armitage Ave,36,69
Kedzie Ave & 104th St,36,2
Public Rack - Milwaukee Ave & School St,35,40
Nordica & Medill,35,34
Bradley Park,35,11
Public Rack - Hamlin Ave & Montrose Ave,34,64
Public Rack - Jonathan Y Scammon Public School,34,14
Michigan Ave & 114th St,34,10
Western Blvd & 49th St,33,26
Narragansett & McLean,33,19
Mozart Elementary School,33,17
Ada St & 113th St,33,8
Hyde Park Blvd & 53rd St,32,31
Wabash Ave & 83rd St,32,27
Richmond St & 59th St,32,19
Public Rack - Sacramento Ave & Devon Ave,32,14
Whipple St & Roosevelt Rd,32,6
Central Park & Augusta Blvd,31,47
Milwaukee Ave & Diversey Ave,31,32
Tripp Ave & 31st St,31,24
Public Rack - Karlov Ave & Kamerling Ave,31,24
Kildare Ave & 26th St,31,7
Public Rack - Hamlin Ave & Grand Ave,31,7
Public Rack - Rockwell Ave & Touhy Ave ,30,29
Kildare & Cermak,30,28
Elizabeth St & 59th St,30,13
Leamington Ave & Hirsch St,30,4
Public Rack - Eli Whitney Public School,30,4
Summit Ave & 86th St,29,90
Public Rack - Western Ave & Jarvis Ave,29,39
Kildare Ave & 55th St,29,13
Roscoe & Harlem,29,12
Wentworth Ave & 104th St,29,8
Avenue L & 114th St,29,3
Keeler Ave & Roosevelt Rd,29,3
Lavergne Ave & 46th St,29,1
Public Rack - Keystone Ave & North Ave,27,53
Public Rack - Lockwood Ave & Diversey Ave,27,50
Yates Blvd & 93rd St,27,41
Springfield Ave & 47th St,27,41
Public Rack - Keystone Ave & Irving Park Rd,27,29
Public Rack - Western Ave & Devon Ave,27,23
Public Rack - Milwaukee Ave & Addison St,27,20
Sacramento Ave & 25th St,27,19
Lafayette Ave & 95th St,27,10
Public Rack - Kilbourn Ave & Fullerton Ave,27,3
Bloomingdale Ave & Harlem Ave,26,21
Marshfield Ave & 59th St,26,20
Calumet Ave & 71st St,25,17
Kimbark Ave & 67th St,25,16
Lawndale Ave & 16th St,25,12
Sacramento Blvd & Fulton Ave,24,58
Spaulding Ave & 16th St,24,39
Lamon Ave & Chicago Ave,24,22
Carpenter St & 63rd St,24,12
Plainfield & Irving Park,24,12
Albany Ave & Douglas Blvd,24,8
Troy Ave & 27th St,24,5
Loomis St & Lexington St*,23,226
Mozart St & Jackson Blvd,23,28
Harold Washington Park,23,24
Long Ave & North Ave,23,9
Major Ave & Bloomingdale Ave,23,9
Public Rack - California Ave & Ogden Ave,23,8
Kedzie Ave & 61st Pl,23,7
Campbell Ave & Montrose Ave (Temp),22,99
Public Rack - Kenton Ave & Palmer St,22,52
Woodlawn & 103rd - Olive Harvey Vaccination Site,22,15
Augusta Blvd & Laramie Ave,22,13
Rockwell St & 63rd St,22,10
Public Rack - Lake Shore Dr & Hayes Dr,22,9
Kedzie Ave & 54th St - SE,22,5
Halsted St & 63rd St,21,21
Pulaski Rd & Fullerton Ave,21,12
Public Rack - Lorel Ave & Grand Ave,21,5
Public Rack - Washtenaw Ave & Superior St,20,44
NewHastings,20,23
Walden Pkwy & 103rd St,20,7
Lavergne Ave & Division St,20,6
South Chicago Ave & Elliot Ave,20,5
Homan Ave & Fillmore St,19,37
Hamlin Ave & Fullerton Ave,19,23
Newcastle Ave & Belden Ave,19,17
Marquette Ave & 79th St,19,2
Menard Ave & Division St,19,2
Christiana Ave & Archer Ave,18,32
Ashland Ave & 66th St,18,25
Western Ave & Jarvis Ave,18,25
Public Rack - Christiana Ave & Lawrence Ave,18,18
Public Rack - Pulaski Rd & Fullerton Ave,18,14
Damen Ave & 74th St,18,10
Troy St & Jackson Blvd,18,4
Public Rack - Woodlawn Ave & 63rd St - NE,17,56
Public Rack - State ST & 42nd St,17,22
Public Rack - California Ave & Touhy Ave - NW,17,15
Public Rack - Laramie Ave & Belmont Ave,17,11
Public Rack - Sacramento Ave & Greenleaf Ave,17,10
Public Rack - Western Blvd & 49th St,17,3
Public Rack - Avers Ave & Irving Park Rd,16,36
Public Rack - Rockwell & Division,16,27
Public Rack - Woodlawn Ave & 63rd St N,16,24
Monticello Ave & Belmont Ave,16,14
Public Rack - Menard Ave & Dakin St - midblock,16,5
Public Rack - Laramie Ave & Grand Ave,16,1
Avers Ave & Archer Ave,16,1
Hamlin Ave & Montrose Ave,15,25
Homewood Ave & Monterey Ave,15,18
Wood St & 47th St,15,16
Lawndale Ave & Diversey Ave,15,15
Public Rack - McCormick Blvd & Devon Ave,15,13
Public Rack - Laramie Ave & Fullerton Ave,15,10
Pulaski Rd & Armitage Ave,15,4
Steelworkers Park,15,3
Martin Luther King Dr & 111th St,14,33
Public Rack - Sawyer Ave & Lawrence Ave,14,24
Milwaukee Ave & Haussen Ct,14,14
Public Rack - Drake Ave & Leland Ave,14,14
Public Rack - Kedvale Ave & Avondale Ave,14,8
Public Rack - Cicero Ave & Cortland St - midblock,14,5
Kildare Ave & Division St,14,3
Jonathan Y Scammon Public School,14,3
Public Rack - Cicero Ave & Roscoe St,13,29
Public Rack - Harold Washington Park,13,29
Public Rack - Avondale Ave & Addison St,13,18
Public Rack - California Ave & Devon Ave - NW,13,14
Western Ave & 62nd St,13,12
Public Rack - Karlov Ave & Milwaukee Ave,13,11
North Ave & New England Ave,13,10
Public Rack - Kimball Ave & Carmen Ave,13,6
Public Rack - Western Ave & 96th St,13,5
Menard Ave & North Ave,13,2
Halsted St & 18th St (Temp),12,81
Kenton Ave & Palmer St,12,55
Olive Harvey College,12,52
Public Rack - Chopin Park,12,21
Public Rack - Austin Ave & Roscoe St,12,20
Public Rack - Spaulding Ave & Bryn Mawr Ave,12,12
Public Rack - Kildare Ave & Division St,12,12
Public Rack - St Louis Ave & Berteau Ave,12,11
Lowell Ave & Elston Ave,12,6
Public Rack - Avers Ave & Ogden Ave,12,4
Public Rack - Cicero Ave & Altgeld St,12,4
Parkside Ave & Armitage Ave,12,3
Public Rack - South Shore Dr & 71st St,12,1
Pulaski Rd & 44th St,11,104
Public Rack - Jensen Park,11,51
Sacramento Blvd & Polk St,11,35
Spaulding Ave & Evergreen Ave,11,24
Pulaski Rd & 51st Rd,11,23
Public Rack - Spaulding Ave & Foster Ave,11,12
Kildare Ave & Chicago Ave,11,7
Kedzie Ave & 58th St,11,5
Public Rack - Cicero Ave & North Ave,11,5
N Narragansett Ave & Grand Ave,11,2
Public Rack - Kedvale Ave & Addison St,11,2
Western Ave & 92nd Pl,11,2
Public Rack - Leclaire Ave & Division St,11,1
Bell Ave & 95th St,11,0
Public Rack - Kostner Ave & North Ave,10,12
Public Rack - Grand Ave & North Ave,10,10
Kolin Ave & Archer Ave,10,4
Public Rack - Melvina Ave & Belmont Ave,10,4
Komensky Ave & 59th St,10,3
Wood St & 103rd St,10,2
Albany Ave & 63rd St,10,2
Public Rack - Campbell Ave & Pratt Blvd,9,17
Tripp Ave & 15th St,9,14
Public Rack - Kostner Ave & Diversey Ave,9,13
Public Rack - Fullerton Ave & Narragansett Ave,9,13
Christiana Ave & Belmont Ave,9,12
Prairie Ave & 47th St - midblock,9,10
Western Ave & 28th St,9,8
Kedzie Ave & 54th St - SW,9,8
Public Rack - Cicero Ave & Wellington Ave,9,7
Public Rack - Komensky Ave & 26th St,9,4
Racine Ave & 76th,9,3
Western Ave & 100th St,9,2
Public Rack - Linder Ave & Belmont Ave,9,2
Claremont Ave & 71st St,9,0
Eli Whitney Public School,9,0
Cicero Ave & Wrightwood Ave,8,36
Nagle Ave & Belmont Ave,8,24
Neva Ave & Grand Ave,8,8
Kedzie Ave & 63rd St,8,8
Public Rack - Woodlawn Ave & 63rd St - SE,8,6
Public Rack - Menard Ave & Grand Ave,8,4
Christiana Ave & 55th St,8,2
Divvy Valet - Oakwood Beach,8,1
Public Rack - Lawndale Ave & 23rd St,8,1
S Michigan Ave & E 118th St,8,0
Public Rack - Oketo Ave & Belmont Ave,8,0
Public Rack - Pulaski Rd & 44th St,7,27
Public Rack - King Dr & 115th St,7,24
Public Rack - Calumet Ave & 51st St,7,16
Public Rack - Hyde Park Blvd & 55th St,7,16
Western Ave & 79th St,7,11
Public Rack - Tripp Ave & North Ave,7,11
Public Rack - Nagle Ave & Belmont Ave,7,11
Panama Ave & Grace St,7,7
Milwaukee Ave & Addison St,7,7
Pulaski & 52nd,7,6
Greenwood Ave & Lake Park Ave,7,6
Public Rack - King Dr & Oakwood Blvd,7,5
Public Rack - Narragansett Ave & Fullerton Ave,7,5
Emerald Ave & 43rd St,7,2
Springfield Ave & 63rd St,7,1
Keystone Ave & North Ave,6,16
Public Rack - Austin Ave & Wrightwood Ave,6,13
Public Rack - Eberhart Ave & 61st St,6,6
Damen Ave & 47th St,6,5
Kedzie Ave & 64th St - SW,6,3
Menard Ave & Dakin St - midblock,6,3
Public Rack - Midway Orange Line,6,3
Public Rack - Western Ave & 110th St,6,3
Public Rack - Laramie Ave & Warwick Ave,6,3
Abbott Park,6,2
Hoyne Ave & 110th Pl,6,2
Avers Ave & Irving Park Rd,6,2
Walden Pkwy & 99th St,6,2
Public Rack - Pulaski Rd & Lake St,6,2
Hamlin Ave & Grand Ave,6,1
Central Ave & Corcoran Pl,6,1
Laramie Ave & Fullerton Ave,6,1
Pullman - Ross Dress for Less,6,1
Public Rack - Colfax Ave & 83rd St,6,1
Public Rack - Central Ave & Corcoran Pl,6,1
Public Rack - Ashland Ave & 83rd St,6,1
Cicero Ave & North Ave,6,0
Indiana Ave & 133rd St,6,0
Public Rack - Central Ave & North Ave,6,0
Pullman - Walmart,5,15
532 E 43rd St,5,12
Wilton Ave & Diversey Pkwy - Charging,5,12
Public Rack - Evans Ave & 63rd St,5,11
Public Rack - Walden Pkwy & 103rd St,5,10
Spaulding Ave & North Ave,5,9
Public Rack - Chase Ave & Touhy Ave - NE,5,7
Milwaukee Ave & School St,5,6
S Aberdeen St & W 106th St,5,6
Public Rack - Lafayette Ave & 95th St,5,6
Rockwell Ave & Touhy Ave ,5,5
Public Rack - Kedzie Ave & Archer Ave,5,5
Public Rack - Normal Ave & 111th St,5,4
Talman Ave & 51st St - midblock,5,4
Kimball Ave & Carmen Ave,5,3
California Ave & Pershing Rd,5,3
California Ave & 29th St,5,2
S Wentworth Ave & W 111th St,5,2
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,5,2
Public Rack - Marquette Rd & 67th St,5,2
Pulaski Rd & 41st,5,1
Kostner Ave & North Ave,5,1
Washtenaw Ave & 63rd St,5,1
Kedzie Ave & Pershing Rd,5,1
Kedvale Ave & 63rd St,5,1
Strohacker Park,5,0
63rd & Western Ave - north corner,5,0
Public Rack - Lawndale Ave & 63rd St,5,0
Yates Blvd & Exchange Ave,5,0
Lafayette Ave & 87th St - SW,5,0
Public Rack - Kimbark Ave & 67th St,4,14
Public Rack - California Ave & Devon Ave - NE,4,14
Cottage Grove Ave & 111th St,4,12
Bissell St & Armitage Ave - Charging,4,12
Public Rack - Christiana Ave & Archer Ave,4,8
Cottage Grove & 86th St,4,6
Kedzie Ave & Archer Ave,4,5
Keystone Ave & Irving Park Rd,4,4
California Ave & Devon Ave - NW,4,4
Public Rack - Central Ave & George St,4,4
Public Rack - Exchange Ave & 73rd Pl,4,3
Sacramento Ave & Greenleaf Ave,4,3
111th St - Morgan Park Metra,4,2
Public Rack - Kedzie Ave & 61st Pl W,4,2
Public Rack - Central Park Ave & Ogden Ave,4,2
Public Rack - N Narragansett Ave & Grand Ave,4,2
Longwood Dr & 111th St,4,2
Rockwell & 111th St,4,1
Justine St & 87th St,4,1
Public Rack - Woodlawn Ave & 63rd St S,4,1
Harriet E Sayre Public School,4,1
Public Rack - Francisco Ave & Touhy Ave,4,1
Oketo Ave & Belmont Ave,4,0
Archer Park,4,0
Morgan St & 87th St,4,0
Grand Ave & North Ave,4,0
Mackinaw Ave & 106th St,4,0
Winchester Ave & 87th St,4,0
Throop St & 58th St,4,0
Buffalo Ave & 89th St,4,0
Public Rack - Homan Ave & 26th St,4,0
Public Rack - Pulaski Rd & Grenshaw St,4,0
Western Ave & 118th St,4,0
Public Rack - Penn Elementary School / KIPP Ascend Middle School,3,25
Langley Ave & 79th St,3,9
Public Rack - Christiana Ave & Bryn Mawr Ave,3,6
California Ave & Devon Ave - NE,3,5
Public Rack - Greenwood Ave & Lake Park Ave,3,5
Public Rack - 111th St - Morgan Park Metra,3,5
Harding Ave & 47th St,3,4
Commercial Ave & 89th St,3,4
Public Rack - Champlain Ave & 65th St,3,4
Public Rack - Halsted St & 95th St - SE,3,4
Public Rack - Fullerton Ave & Lavergne Ave,3,4
63rd & Western Ave - south corner,3,4
Marshfield Ave & 45th St,3,4
Public Rack - Karlov Ave & 26th St,3,3
California Ave & Touhy Ave - NW,3,3
Public Rack - Legler Regional Library,3,3
Pubic Rack - Pulaski Rd & 41st,3,2
Public Rack - Kedzie Ave & 58th St,3,2
Public Rack - Lawndale Ave & Polk St,3,2
Public Rack - 532 E 43rd St,3,2
Public Rack - Peterson Ave & Bernard Ave,3,2
Sawyer Ave & 111th St,3,2
Mt Greenwood Library - South,3,2
Hiawatha Park,3,1
Ewing Ave & 96th St,3,1
Kildare Ave & 63rd St,3,1
Western Ave & 105th St,3,1
McVicker Ave & Grand Ave,3,1
St Louis Ave & Berteau Ave,3,1
Austin Ave & Wrightwood Ave,3,1
Western Ave & 111th St - NW,3,1
Kilbourn Ave & Fullerton Ave,3,1
Sawyer Ave & Bryn Mawr Ave - SE,3,1
Public  Rack - Albany Ave & 63rd St,3,1
Public Rack - Harvey Ave & North Ave,3,1
Public Rack - Kildare Ave & North Ave,3,1
WEST CHI-WATSON,3,1
Public Rack - Austin Blvd & North Ave,3,1
Public Rack - Halsted St & 64th St,3,1
Menard Ave & Madison St,3,1
Avondale Ave & Addison St,3,1
Homan Ave & 111th St,3,0
Houston Ave & 91st St,3,0
Torrence Ave  & 106th St,3,0
Western Ave & 106th St - East,3,0
Public Rack - Wallace St & 119th St,3,0
Public Rack - Michigan Ave & 107th St,3,0
Public Rack - Central Park Ave & Fulton Blvd,3,0
Newcastle Ave & Belmont Ave,3,0
Public Rack - Kedzie Ave & 61st Pl,3,0
Public Rack - Western Ave & 92nd Pl,3,0
Public Rack - Jeffery Blvd & 81st St,3,0
Public Rack - Western Ave & 107th Pl,3,0
Public Rack - Menard Ave & Belmont Ave,3,0
Western Ave & 111th St - SE,3,0
Public Rack - Lamon Ave & Erie St,3,0
Halsted St & 80th St,3,0
Spaulding Ave & Foster Ave,3,0
Public Rack - Wood St & 103rd St,3,0
Cottage Grove Ave & 98th St,2,7
Narragansett Ave & Fullerton Ave,2,7
Karlov Ave & Kamerling Ave,2,6
Spaulding Ave & Bryn Mawr Ave,2,6
Public Rack - Hyde Park Blvd & 53rd St,2,5
Kedzie Ave & Argyle St,2,5
Mayfield & Roosevelt Rd,2,5
Public Rack - Pulaski & 52nd,2,5
Martin Luther King Dr & 44th St,2,4
Cottage Grove Ave & 75th St,2,4
Kedvale Ave & Avondale Ave,2,4
Public Rack - Sacramento Blvd & Division St,2,4
Bishop St & 46th St,2,4
Sawyer Ave & Lawrence Ave,2,3
Albany Ave & 111th St - NW,2,3
Public Rack - Langley Ave & 79th St,2,3
Public Rack - Hamlin Ave & Madison St,2,3
Public Rack - Chase Ave & Touhy Ave - NW,2,3
Central Ave & George St,2,3
Cottage Grove & 85th St,2,3
Sacramento Ave & Devon Ave,2,3
Public Rack - Western Ave & 47th Pl,2,3
Public Rack - Pulaski Rd & Roosevelt Rd,2,3
Public Rack - California Ave & Touhy Ave - SW,2,3
Halsted St & 76th St,2,2
Cicero Ave & Roscoe St,2,2
Ingleside Ave & 79th St,2,2
Oleander Ave & Addison St,2,2
Public Rack - Kedzie Ave & 61st Pl E,2,2
Ewing Ave & 105th St,2,2
Latrobe Ave & Lake St,2,2
Rutherford Ave & Belmont Ave,2,2
Public Rack - Stony Island & 87th St,2,2
Public Rack - Hamlin Ave & Chicago Ave,2,2
Public Rack - Forrestville Ave & 47th St,2,2
WestChi,2,2
Kenneth Ave & 63rd St,2,1
Halsted St & 95th St - SW,2,1
Public Rack - Al Raby School,2,1
Public Rack - Langley Ave & 49th St,2,1
Avenue J & 112th St,2,1
Calumet Ave & 103rd St,2,1
Public Rack - Kostner Ave & Wrightwood Ave,2,1
Public Rack - Zapata Academy,2,1
Menard Ave & Grand Ave,2,1
Pulaski Rd & 40th St,2,1
Public Rack - Kedzie Ave & Chicago Ave,2,1
Ellis Ave & 132nd Pl,2,0
Normal Ave & 72nd St,2,0
Back of the Yards Park,2,0
Lafayette Ave & 119th St,2,0
Cottage Grove Ave & 91st St,2,0
Public Rack - Avers Ave & Archer Ave,2,0
Public Rack - Hamilton Ave & 95th St,2,0
Public Rack - La Moyne Ave and Leamington Ave,2,0
Zapata Academy,2,0
Harvard Ave & 103rd St,2,0
Michigan Ave & 119th St,2,0
Mt Greenwood Library - North,2,0
Public Rack - King Dr & 83rd St,2,0
Public Rack - Cottage Grove & 86th St,2,0
Public Rack - Grand Ave & Lawndale Ave,2,0
Public Rack - Kedzie Ave & 64th St - SW,2,0
Public Rack - Latrobe Ave & Lake St,2,0
Ewing Ave & Indianapolis Ave,2,0
Public Rack - Ewing Ave & 107th St,2,0
Lowe Ave & 98th St,2,0
Ewing Ave & 112th St,2,0
Halsted St & 41st St,2,0
Jeffery Blvd & 83rd St,2,0
Stewart Ave & 123rd St,2,0
Western Ave & 106th St - West,2,0
Public Rack - Pulaski Rd & 15th St,2,0
Public Rack - Cornell Ave & 87th Pl,2,0
Public Rack - Walden Pkwy & 99th St,2,0
Public Rack - Western Ave & 98th St,2,0
Public Rack - Eggleston Ave & 115th St,2,0
Public Rack - Paxton Ave & 79th St,2,0
Public Rack - Kedzie & 103rd St - East,2,0
Public Rack - Cottage Grove Ave & 92nd St,2,0
Cicero Ave & Wellington Ave,1,32
Loomis St & 87th St,1,27
Public Rack - Loomis St & 87th St,1,19
Public Rack - Hoyne Ave & 110th Pl,1,11
Public Rack - Brainerd Park,1,10
Morgan St & 95th St,1,10
Public Rack - Throop St & 109th Pl,1,8
Public Rack - Fairfield Ave & 63rd St,1,8
Racine Ave & 74th St,1,7
Laramie Ave & Belmont Ave,1,7
Cottage Grove Ave & 87th St,1,7
Public Rack - Prairie Ave & Garfield Blvd,1,6
Public Rack - Pullman - Walmart,1,5
Laramie Ave & Grand Ave,1,5
Harper Ave & 63rd St,1,4
Cicero Ave & Altgeld St,1,4
Public Rack - Pulaski Rd & 65th St,1,4
Brighton Park Branch Chicago Library,1,4
Menard Ave & Agusta Blvd,1,3
Chase Ave & Touhy Ave - NW,1,3
Calumet Ave & Garfield Blvd,1,3
Public Rack - Stewart Ave & 123rd St,1,3
Public Rack - Lorel Ave & Chicago Ave,1,3
Hamlin Ave & Chicago Ave,1,3
Public Rack - Kedzie Ave & 54th St - SE,1,3
Kimbark Ave & 63rd St,1,2
Public Rack - Ashland Ave & 91st St,1,2
McCormick Blvd & Devon Ave,1,2
Public Rack - Pulaski Rd & 40th St,1,2
Public Rack - Pulaski Rd & 5th Ave,1,2
Public Rack - McVicker Ave & Grand Ave,1,2
Ewing Ave & 106th St,1,2
Public Rack - Ashland Ave & 45th St,1,2
Ewing Ave & 101st St,1,1
Ashland Ave & 45th St,1,1
Lawrence Ave & 103rd St,1,1
Lorel Ave & Chicago Ave,1,1
Newland Ave & Diversey Ave,1,1
Public Rack - Neva Ave & Grand Ave,1,1
Public Rack - Whipple St & 26th St,1,1
Public Rack - Kedzie Ave & Walnut St,1,1
Public Rack - Kolin Ave & Archer Ave,1,1
Public Rack - Western Ave & 107th St,1,1
Public Rack - Kenneth Ave & 63rd St E,1,1
Public Rack - Kedzie Ave & 64th St - SE,1,1
Public Rack - Cottage Grove Ave & 87th St,1,1
Public Rack - California Ave & Pershing Rd,1,1
Piotrowski Park,1,1
State St & 47th st,1,1
Avenue J & 106th St,1,1
Hale Ave & 111th St,1,1
Central Ave & North Ave,1,1
Lafayette Ave & 87th St - NW,1,1
Kildare Ave & Washignton Blvd,1,1
Western Ave & 104th St - East,1,1
Public Rack - Homan Ave & Lake St,1,1
Public Rack - Perry Ave & 111th St,1,1
Cicero Ave & Le Moyne St - midblock,1,1
Public Rack - Ashland Ave & 76th St,1,1
Public Rack - Kimbark Ave & 63rd St,1,1
Public Rack - Langley Ave & Oakwood Blvd,1,1
Public Rack - Prairie Ave & Garfield Blvd N,1,1
Chase Ave & Touhy Ave - NE,1,1
Pittsburgh Ave & Irving Park,1,1
Public Rack - Percy Julian HS,1,1
Mackinaw Ave & 108th St,1,1
Halsted St & 102nd St,1,1
Buffalo Ave & 133rd St,1,1
Jeffrey Blvd & 71st St,1,1
Chappel Ave & 71st St,1,1
Ashland Ave & 45th St - midblock south,1,1
Colfax Ave & 83rd St,1,1
Public Rack - Ewing Ave & 106th St,1,1
Public Rack - Kedzie Ave & 60th St,1,1
Public Rack - Maplewood Ave & 47th St,1,1
Maryland Ave & 87th ST,1,1
Menard Ave & Belmont Ave,1,1
Austin Ave & Wellington Ave - midblock,1,1
Public Rack - Western Ave & 104th St - East,1,1
Cicero Ave & Cortland St - midblock,1,1
Public Rack - Kedvale Ave & 26th St,1,1
Public Rack - Talman Ave & Pershing Rd,1,1
Ozark Ave & Addison St,1,1
Public Rack - May St & 78th St,1,1
Austin Ave & Roscoe St,1,0
Marshfield Ave & 87th St,1,0
Cottage Grove Ave & 92nd St,1,0
Martin Luther King Dr & 69th St,1,0
Plainfield Ave & Irving Park Rd,1,0
Public Rack - Laflin St & 51st St,1,0
Public Rack - Ozark Ave & Addison St,1,0
Public Rack - Roswell B. Mason Elementary School,1,0
Ada St & 95th St,1,0
Ada St & 117th St,1,0
Green St & 103rd St,1,0
Albany Ave & 103rd St,1,0
Loomis Blvd & 83rd St,1,0
Corliss Ave & 133rd St,1,0
Trumbull Ave & 111th St,1,0
Eggleston Ave & 114th St,1,0
Kedzie & 103rd St - East,1,0
83rd St (Avalon Park) Metra,1,0
Sacramento Blvd & Washington Blvd,1,0
Public Rack - Lafayette Ave & 87th St SW,1,0
Penn Elementary School / KIPP Ascend Middle School,1,0
Public Rack - Baltimore Ave & 132nd St,1,0
Michigan Ave & 110th St,1,0
Vincennes Ave & 95th Pl,1,0
Michigan Ave & 96th St,1,0
Michigan Ave & 102nd St,1,0
Rhodes Ave & 79th St,1,0
Public Rack - Western Ave & 100th St,1,0
Public Rack - Komensky Ave & 59th St,1,0
Keeler Ave & 55th St,1,0
Public Rack - Emerald Ave & 45th St,1,0
Mason Ave & Roosevelt Rd,1,0
Public Rack - Menard Ave & Adams Blvd,1,0
Public Rack - Nordica Ave & Addison St,1,0
Public Rack - Kostner Ave & 16th St,1,0
Public Rack - 53rd St & Indiana Ave,1,0
Public Rack - Halsted St & 109th St,1,0
Public Rack - Langley Ave & 87th St,1,0
Chopin Park,1,0
Al Raby School,1,0
May St & 63rd St,1,0
Tuley (Murray) Park,1,0
Yale Ave & 119th St,1,0
Lamon Ave & Archer Ave,1,0
10101 S Stony Island Ave,1,0
Halsted St & 95th St - SE,1,0
Park Manor Elementary School,1,0
Public Rack - Rockwell & 111th St,1,0
Public Rack - Chappel Ave & 71st St,1,0
Public Rack - Western Ave & 79th St,1,0
Public Rack - Western Ave & 116th St,1,0
Public Rack - Roscoe St & Osceola Ave,1,0
Public Rack - Newcastle Ave & Belmont Ave,1,0
Public Rack - Western Ave & 111th St - NW,1,0
Public Rack - Western Ave & 104th St - West,1,0
Public Rack - Michele Clark Magnet High School,1,0
Public Rack - Spencer Elementary Technology Academy,1,0
Ada St & 79th St,1,0
Laflin St & 79th St,1,0
Wallace St & 112 St,1,0
Hamilton Ave & 95th St,1,0
California Ave & Ogden Ave,1,0
Newcastle Ave & Wellington Ave,1,0
Public Rack - Bell Ave & 95th St,1,0
City Rack - Albany Ave & 103rd St,1,0
Public Rack - Hoyne Ave & 51st St,1,0
Public Rack - Kedvale Ave & 63rd St,1,0
Austin Branch Chicago Public Library,1,0
Public Rack - Garfield Park Conservatory,1,0
Public Rack - Cottage Grove Ave & 98th St,1,0
Pawel Bialowas - Test- PBSC charging station,1,0
Ewing Ave & 99th St,1,0
Halsted St & 64th St,1,0
Greenwood Ave & 87th St,1,0
Legler Regional Library,1,0
Michigan Ave & 113th St,1,0
Orville T Bright School,1,0
Princeton Ave & 43rd St,1,0
Melvina Ave & Belmont Ave,1,0
Public Rack - Lawndale & 63rd St,1,0
