start_station_name,casual_user,member_user
Southport Ave & Clybourn Ave,3668,5910
Clarendon Ave & Gordon Ter,3663,8794
Desplaines St & Randolph St,3662,6858
Rush St & Hubbard St,3544,5589
Franklin St & Monroe St,3539,9955
State St & Harrison St,3524,3731
Clifton Ave & Armitage Ave,3513,6275
Calumet Ave & 18th St,3509,4725
Sheffield Ave & Willow St,3501,7086
Wells St & Polk St,3461,6667
Aberdeen St & Randolph St,3453,6437
Halsted St & Willow St,3404,7507
Carpenter St & Huron St,3397,6553
Michigan Ave & 18th St,3392,5783
Wells St & Walton St,3391,6463
Orleans St & Chestnut St (NEXT Apts),3376,5643
Damen Ave & Division St,3368,5115
Ellis Ave & 55th St,3340,13259
LaSalle St & Jackson Blvd,3339,9287
Morgan St & Lake St,3333,5875
Broadway & Wilson - Truman College Vaccination Site,3322,5186
Larrabee St & Armitage Ave,3299,5210
State St & Van Buren St,3234,5472
Paulina Ave & North Ave,3193,4655
Halsted St & Maxwell St,3154,6686
Aberdeen St & Jackson Blvd,3150,8118
Dearborn St & Adams St,3073,5570
Ashland Ave & Blackhawk St,3067,5841
Clark St & Leland Ave,3064,5547
Eckhart Park,3063,5354
Marine Dr & Ainslie St,3036,3819
900 W Harrison St,3033,8078
Canal St & Monroe St,2973,8518
Wabash Ave & 16th St,2967,5021
Franklin St & Adams St (Temp),2940,6011
Elston Ave & Cortland St,2910,4967
Clinton St & Roosevelt Rd,2892,5084
Canal St & Jackson Blvd,2887,7431
Aberdeen St & Monroe St,2844,6457
Desplaines St & Jackson Blvd,2824,8135
Sangamon St & Washington Blvd,2823,5771
Damen Ave & Thomas St (Augusta Blvd),2821,4727
Western Ave & Walton St,2821,3817
Sheridan Rd & Buena Ave,2819,6010
Broadway & Argyle St,2816,5169
Delano Ct & Roosevelt Rd,2812,3953
Racine Ave & Wrightwood Ave,2802,4627
Loomis St & Lexington St,2788,18112
Cornell Ave & Hyde Park Blvd,2783,4856
Ogden Ave & Race Ave,2766,6124
Walsh Park,2750,4685
Larrabee St & North Ave,2741,3931
Greenview Ave & Diversey Pkwy,2741,3751
Damen Ave & Charleston St,2702,2768
Museum of Science and Industry,2675,1632
LaSalle St & Washington St,2672,5934
Broadway & Granville Ave,2671,3722
California Ave & Cortez St,2665,3018
Ada St & Washington Blvd,2654,4961
Sangamon St & Lake St,2650,4339
Dearborn St & Van Buren St,2627,4136
Orleans St & Hubbard St,2625,5615
Lake Park Ave & 53rd St,2618,3795
Southport Ave & Irving Park Rd,2598,5110
Clark St & Bryn Mawr Ave,2597,4675
Leavitt St & North Ave,2577,3492
Campbell Ave & North Ave,2567,3041
Noble St & Milwaukee Ave,2565,5306
Halsted St & Polk St,2562,11841
Ashland Ave & Grace St,2548,4183
Broadway & Thorndale Ave,2546,3981
Financial Pl & Ida B Wells Dr,2497,5826
Broadway & Berwyn Ave,2489,4961
Ashland Ave & Wrightwood Ave,2482,3428
Clarendon Ave & Leland Ave,2455,4374
Western Ave & Leland Ave,2444,4488
Clark St & Montrose Ave,2424,3770
Fairbanks St & Superior St,2423,5227
Calumet Ave & 21st St,2387,1598
Bissell St & Armitage Ave,2384,4349
Morgan St & Polk St,2381,11952
May St & Taylor St,2379,10084
Winthrop Ave & Lawrence Ave,2366,3576
State St & Pearson St,2360,4906
Canal St & Taylor St,2339,4136
Racine Ave & 18th St,2323,4263
Wacker Dr & Washington St,2298,6311
Seeley Ave & Roscoe St,2281,3299
Woodlawn Ave & 55th St,2271,5797
Lake Park Ave & 56th St,2267,4491
Western Ave & Division St,2264,2550
Humboldt Blvd & Armitage Ave,2263,2363
Sheridan Rd & Lawrence Ave,2256,3950
N Green St & W Lake St,2255,3100
Ashland Ave & Lake St,2249,2784
Jefferson St & Monroe St,2248,5390
Blue Island Ave & 18th St,2244,3278
Wood St & Chicago Ave,2240,4461
Sheridan Rd & Noyes St (NU),2211,2937
Chicago Ave & Sheridan Rd,2203,2088
Broadway & Ridge Ave,2179,4294
Damen Ave & Wellington Ave,2164,2409
Ashland Ave & Grand Ave,2163,3533
Spaulding Ave & Armitage Ave,2160,2054
Lincoln Ave & Roscoe St*,2144,3499
Ashland Ave & Wellington Ave,2141,4248
Morgan St & 18th St,2078,3360
Racine Ave & Randolph St,2056,3167
Leavitt St & Armitage Ave,2054,2852
Logan Blvd & Elston Ave,2053,3239
Clark St & 9th St (AMLI),2031,3693
Lincoln Ave & Belmont Ave (Temp),2018,3105
Clybourn Ave & Division St,2011,4883
Milwaukee Ave & Rockwell St,1980,2179
Ashland Ave & Augusta Blvd,1977,4844
California Ave & Francis Pl (Temp),1973,2158
Clark St & Ida B Wells Dr,1972,4149
Benson Ave & Church St,1944,2684
Wolcott (Ravenswood) Ave & Montrose Ave,1933,2925
Ravenswood Ave & Irving Park Rd,1931,3065
Larrabee St & Oak St,1927,5538
California Ave & North Ave,1910,2564
California Ave & Division St,1905,1908
Leavitt St & Chicago Ave,1873,2534
Morgan St & Lake St*,1868,2805
Lincoln Ave & Sunnyside Ave,1867,3448
Lincoln Ave & Belle Plaine Ave,1836,3400
Sheridan Rd & Loyola Ave,1836,2238
Leavitt St & Belmont Ave,1835,2197
Albany Ave & Bloomingdale Ave,1825,2565
Ashland Ave & Chicago Ave,1817,3961
Larrabee St & Menomonee St,1814,3715
Sedgwick St & Schiller St,1809,2456
Racine Ave & Washington Blvd,1802,3581
Green St & Randolph St,1802,3065
Damen Ave & Grand Ave,1766,3332
LaSalle St & Adams St,1766,2833
