end_station_name,casual_user,member_user
State St & Pershing Rd,71,137
Cottage Grove Ave & 111th Pl,71,72
Major Taylor Trail & 115th St,71,27
Eberhart Ave & 91st St,70,32
Midway Orange Line,70,14
Loomis St & 89th St,69,25
Harding Ave & 26th St,68,78
Central Park Ave & Ohio St,68,58
Public Rack - Milwaukee Ave & Haussen Ct,68,36
California & 16th St,68,34
Public Rack - Hamlin Ave & Fullerton Ave,67,134
Halsted St & 73rd St,67,80
State St & 54th St,67,77
Constance Ave & 95th St,66,27
Doty Ave & 111th St,66,17
La Villita Park (Albany/30th),66,8
Western & 28th - Velasquez Institute Vaccination Site,65,120
N Clark St & W Elm St,65,69
Kildare Ave & 47th St,65,57
Loomis Blvd & 84th St,65,48
Eastlake Ter & Howard St,64,121
Evans Ave & 75th St,64,89
Virginia Ave & Catalpa Ave,64,83
MTV Hubbard St,63,194
Washtenaw Ave & Superior St,63,71
Washtenaw Ave & Peterson Ave,63,52
Kedzie Ave & 110th St,62,40
Mason Ave & Belmont Ave,62,20
Wells St & Institute Pl,61,129
Mulligan Ave & Wellington Ave,61,102
Western Ave & Lake St,61,40
Michigan Ave & 114th St,61,12
MLK Jr Dr & 83rd St,60,94
Public Rack - Cicero Ave & Wrightwood Ave,60,74
Richmond St & Lincoln Ave,60,52
Washtenaw Ave & Madison St,60,40
Halsted St & 56th St,60,38
Avenue O & 134th St,60,22
Ashland Ave & 78th St,60,19
Kostner Ave & Lake St,60,15
Stewart Ave & 83rd St,59,65
Elizabeth St & 47th St,59,38
South Chicago Ave & 83rd St,59,15
Hegewisch Metra Station,59,14
Torrence Ave & 126th Pl,59,4
Maryland Ave & 104th St,58,123
Cottage Grove Ave & 78th St,58,69
May St & 69th St,57,122
Halsted St & 111th St,57,30
Public Rack - Rockwell Ave & Touhy Ave ,57,19
California Ave & 36th St,57,10
Public Rack - Spaulding Ave & North Ave,56,119
Hamlin Ave & 62nd Pl,56,50
Stony Island Ave & South Chicago Ave,56,45
Fairfield Ave & 44th St,54,29
Maplewood Ave & 59th St,54,7
Green St & Madison Ave*,53,168
Public Rack - Keystone Ave & North Ave,53,40
Halsted St & 59th St,53,15
Springfield Ave & 47th St,53,11
Stony Island Ave & 82nd St,52,100
Altgeld Gardens,52,10
Major Ave & Bloomingdale Ave,52,9
Public Rack - Spaulding Ave & Evergreen Ave,51,93
Monticello Ave & Chicago Ave,50,52
Halsted St & 69th St,50,38
Kostner Ave & Adams St,49,164
Public Rack - Washtenaw Ave & Devon Ave,49,112
Hyde Park Blvd & 55th St,49,67
Throop St & 52nd St,49,30
Kildare Ave & 26th St,49,6
Public Rack - Lawndale Ave & Diversey Ave,48,163
Central Park Ave & Douglas Blvd,48,23
Narragansett & McLean,48,23
Public Rack - Sacramento Ave & Devon Ave,48,18
Pulaski Rd & 60th St,48,14
Summit Ave & 86th St,47,88
Halsted St & 104th St,47,43
Kenton Ave & Madison St,47,34
Racine Ave & 109th Pl,47,15
Richmond St & 59th St,47,10
Eberhart Ave & 131st St,47,6
Greenwood Ave & 97th St,46,47
Spaulding Ave & 63rd St,46,44
Oglesby Ave & 100th St,46,38
Ada St & 113th St,46,7
Public Rack - Hamlin Ave & Grand Ave,46,5
Campbell Ave & 51st St,46,5
Racine Ave & 65th St,45,9
Bradley Park,45,7
Meade Ave & Addison St,44,32
Nordica & Medill,44,27
Albany Ave & Douglas Blvd,44,5
Francisco Ave & Hollywood Ave,43,16
Public Rack - Jonathan Y Scammon Public School,43,5
Hoyne Ave & 34th St,42,21
State St & 76th St,42,20
Public Rack - Eli Whitney Public School,42,2
Kostner Ave & 63rd St,41,16
Racine Ave & 61st St,41,7
Leamington Ave & Hirsch St,41,4
Lavergne Ave & 46th St,41,2
Public Rack - Western Ave & Jarvis Ave,40,36
Mozart Elementary School,40,17
Marshfield Ave & 59th St,40,13
Western Blvd & 49th St,40,9
Robert Fulton Elementary School,40,0
Public Rack - Hamlin Ave & Montrose Ave,39,76
Vincennes Ave & 104th St,39,42
Oketo Ave & Addison St,39,10
Tripp Ave & 31st St,38,21
Public Rack - Kostner Ave & Armitage Ave,36,72
Public Rack - Karlov Ave & Kamerling Ave,36,33
Troy Ave & 27th St,36,7
Carpenter St & 63rd St,36,7
Sacramento Ave & 25th St,35,20
Commercial Ave & 100th St,35,16
Laramie Ave & Gladys Ave,35,16
Rhodes Ave & 71st St,35,14
Milwaukee Ave & Diversey Ave,34,31
Damen Ave & 33rd St,34,27
Kedzie Ave & 61st Pl,34,9
Loomis St & Lexington St*,32,235
Public Rack - Kenton Ave & Palmer St,32,45
Public Rack - California Ave & Ogden Ave,32,6
Pulaski & Ann Lurie Pl,31,56
Public Rack - Western Ave & Devon Ave,31,36
Wabash Ave & 83rd St,31,22
Public Rack - Keystone Ave & Irving Park Rd,31,19
Public Rack - Kilbourn Ave & Fullerton Ave,31,8
Public Rack - Lake Shore Dr & Hayes Dr,31,8
Base - 2132 W Hubbard,30,113
Public Rack - Washtenaw Ave & Superior St,30,45
Spaulding Ave & 16th St,30,35
Yates Blvd & 93rd St,30,24
Public Rack - Pulaski Rd & Fullerton Ave,30,16
Public Rack - Milwaukee Ave & Addison St,30,14
Damen Ave & 74th St,30,12
Wentworth Ave & 104th St,30,11
Keeler Ave & Roosevelt Rd,30,4
Menard Ave & Division St,30,3
Campbell Ave & Montrose Ave (Temp),29,107
Public Rack - Kedzie Ave & Argyle St,29,62
Elizabeth St & 59th St,29,10
Calumet Ave & 71st St,29,9
Public Rack - Lockwood Ave & Diversey Ave,28,56
Public Rack - Milwaukee Ave & School St,28,52
Central Park & Augusta Blvd,28,51
Ashland Ave & 66th St,28,34
Harlem Ave & Grace St,28,13
Bloomingdale Ave & Harlem Ave,28,13
Long Ave & North Ave,28,11
Woodlawn Ave & 75th St,28,11
Public Rack - Kedvale Ave & Avondale Ave,28,5
Public Rack - Lorel Ave & Grand Ave,28,2
Base - 2132 W Hubbard Warehouse,27,44
Public Rack - Laramie Ave & Belmont Ave,26,18
Lawndale Ave & 16th St,26,15
Roscoe & Harlem,26,3
Lavergne Ave & Division St,26,2
Public Rack - Sawyer Ave & Lawrence Ave,25,12
Plainfield & Irving Park,25,9
Marquette Ave & 79th St,25,4
Kedzie Ave & 104th St,25,2
Harold Washington Park,24,18
Public Rack - Fullerton Ave & Narragansett Ave,24,13
Rockwell St & 63rd St,24,7
Public Rack - Christiana Ave & Lawrence Ave,23,21
Halsted St & 63rd St,23,14
Lafayette Ave & 95th St,23,11
Augusta Blvd & Laramie Ave,23,4
Menard Ave & North Ave,23,4
Walden Pkwy & 103rd St,23,1
Hyde Park Blvd & 53rd St,22,32
Homan Ave & Fillmore St,22,26
Kildare Ave & 55th St,22,13
Whipple St & Roosevelt Rd,22,9
Kedzie Ave & 54th St - SE,22,6
Avenue L & 114th St,22,2
Public Rack - Spaulding Ave & Foster Ave,21,7
Sacramento Blvd & Fulton Ave,20,51
Public Rack - Chopin Park,20,16
Newcastle Ave & Belden Ave,20,10
Public Rack - Austin Ave & Wrightwood Ave,20,9
Public Rack - Western Blvd & 49th St,20,7
Milwaukee Ave & Haussen Ct,20,4
Troy St & Jackson Blvd,20,2
Kildare & Cermak,19,51
Mozart St & Jackson Blvd,19,31
Western Ave & Jarvis Ave,19,28
Kimbark Ave & 67th St,19,15
Public Rack - Menard Ave & Dakin St - midblock,19,9
Panama Ave & Grace St,19,3
Public Rack - Laramie Ave & Grand Ave,19,2
Pulaski Rd & 44th St,18,80
Public Rack - Jensen Park,18,34
Public Rack - Kildare Ave & Division St,18,21
Kedzie Ave & 58th St,18,7
Pulaski & 52nd,18,2
Public Rack - Cicero Ave & Cortland St - midblock,18,2
Public Rack - Drake Ave & Leland Ave,17,12
Pulaski Rd & Fullerton Ave,17,12
Public Rack - Avers Ave & Ogden Ave,17,10
Public Rack - Spaulding Ave & Bryn Mawr Ave,17,9
Public Rack - Western Ave & 96th St,17,5
South Chicago Ave & Elliot Ave,17,4
Public Rack - Cicero Ave & Altgeld St,17,4
Sacramento Blvd & Polk St,16,52
Public Rack - Cicero Ave & Roscoe St,16,28
Public Rack - Woodlawn Ave & 63rd St N,16,17
Public Rack - Sacramento Ave & Greenleaf Ave,16,12
Public Rack - Laramie Ave & Fullerton Ave,16,9
Lowell Ave & Elston Ave,16,9
Steelworkers Park,16,5
N Narragansett Ave & Grand Ave,16,3
Jonathan Y Scammon Public School,16,1
Halsted St & 18th St (Temp),15,62
Public Rack - Avers Ave & Irving Park Rd,15,54
Public Rack - State ST & 42nd St,15,25
Public Rack - Karlov Ave & Milwaukee Ave,15,12
Public Rack - St Louis Ave & Berteau Ave,15,4
North Ave & New England Ave,14,25
Public Rack - Avondale Ave & Addison St,14,24
Monticello Ave & Belmont Ave,14,24
Spaulding Ave & Evergreen Ave,14,23
Public Rack - California Ave & Devon Ave - NW,14,15
Public Rack - Kostner Ave & Diversey Ave,14,13
Public Rack - Cicero Ave & Wellington Ave,14,10
Public Rack - Woodlawn Ave & 63rd St - SE,14,8
Public Rack - Grand Ave & North Ave,14,7
Kedzie Ave & 63rd St,14,7
Kildare Ave & Division St,14,6
Pulaski Rd & Armitage Ave,14,3
Wood St & 103rd St,14,1
Public Rack - Komensky Ave & 26th St,14,0
Christiana Ave & Archer Ave,13,51
Public Rack - Campbell Ave & Pratt Blvd,13,18
Christiana Ave & Belmont Ave,13,11
Western Ave & 62nd St,13,7
Public Rack - Narragansett Ave & Fullerton Ave,13,6
Milwaukee Ave & Addison St,13,4
Divvy Valet - Oakwood Beach,13,3
Public Rack - Linder Ave & Belmont Ave,13,3
Springfield Ave & 63rd St,13,2
Christiana Ave & 55th St,13,1
Public Rack - Laramie Ave & Warwick Ave,13,1
Public Rack - Austin Ave & Roscoe St,12,28
Hamlin Ave & Fullerton Ave,12,22
Keystone Ave & North Ave,12,13
Spaulding Ave & North Ave,12,13
Public Rack - Central Ave & George St,12,4
Avers Ave & Archer Ave,12,2
Public Rack - Menard Ave & Grand Ave,12,2
Racine Ave & 76th,12,1
Kedzie Ave & Archer Ave,12,1
Public Rack - South Shore Dr & 71st St,12,1
Public Rack - Rockwell & Division,11,21
Martin Luther King Dr & 111th St,11,20
Public Rack - McCormick Blvd & Devon Ave,11,16
Kedzie Ave & 54th St - SW,11,13
Greenwood Ave & Lake Park Ave,11,9
Kedzie Ave & 64th St - SW,11,8
Neva Ave & Grand Ave,11,7
Public Rack - Kimball Ave & Carmen Ave,11,6
Kolin Ave & Archer Ave,11,1
Wood St & 47th St,10,29
Homewood Ave & Monterey Ave,10,24
Cicero Ave & Wrightwood Ave,10,21
Public Rack - Calumet Ave & 51st St,10,14
Prairie Ave & 47th St - midblock,10,9
Laramie Ave & Fullerton Ave,10,3
Western Ave & 92nd Pl,10,2
Torrence Ave  & 106th St,10,1
Public Rack - Hamlin Ave & Chicago Ave,10,1
63rd & Western Ave - north corner,10,1
Kedvale Ave & Avondale Ave,10,1
Public Rack - Zapata Academy,10,0
Western Ave & 111th St - NW,10,0
Eli Whitney Public School,10,0
Albany Ave & 63rd St,9,12
Public Rack - Harold Washington Park,9,10
Western Ave & 28th St,9,9
Public Rack - Lawndale Ave & 63rd St,9,4
Public Rack - Melvina Ave & Belmont Ave,9,4
Western Ave & 100th St,9,1
Public Rack - Central Ave & North Ave,9,1
Rockwell & 111th St,9,0
Pubic Rack - Pulaski Rd & 41st,9,0
Public Rack - Lawndale Ave & 23rd St,9,0
Public Rack - Colfax Ave & 83rd St,9,0
Kenton Ave & Palmer St,8,44
Public Rack - Kostner Ave & North Ave,8,15
Western Ave & 79th St,8,15
Bissell St & Armitage Ave - Charging,8,10
Komensky Ave & 59th St,8,4
Public Rack - Leclaire Ave & Division St,8,2
Karlov Ave & Kamerling Ave,8,2
Pulaski Rd & 41st,8,1
Hamlin Ave & Grand Ave,8,1
Public Rack - Marquette Rd & 67th St,8,0
Western Ave & 118th St,8,0
Western Ave & 106th St - East,8,0
Bell Ave & 95th St,8,0
Strohacker Park,8,0
Lawndale Ave & Diversey Ave,7,30
Public Rack - California Ave & Touhy Ave - NW,7,28
Hamlin Ave & Montrose Ave,7,19
Tripp Ave & 15th St,7,17
Public Rack - California Ave & Devon Ave - NE,7,12
Public Rack - Cicero Ave & North Ave,7,9
Public Rack - Prairie Ave & Garfield Blvd,7,8
Public Rack - Chase Ave & Touhy Ave - NE,7,7
Public Rack - Kedzie Ave & Archer Ave,7,5
Kildare Ave & Chicago Ave,7,4
Hoyne Ave & 110th Pl,7,4
Public Rack - Western Ave & 47th Pl,7,3
Archer Park,7,2
Abbott Park,7,2
Public Rack - Champlain Ave & 65th St,7,2
Cicero Ave & Roscoe St,7,1
Public Rack - 532 E 43rd St,7,1
Western Ave & 111th St - SW,7,1
Sacramento Ave & Greenleaf Ave,7,1
Indiana Ave & 133rd St,7,0
Ada St & 79th St,7,0
Olive Harvey College,6,72
Public Rack - Pulaski Rd & 44th St,6,36
Pulaski Rd & 51st Rd,6,9
Milwaukee Ave & School St,6,7
Mayfield & Roosevelt Rd,6,4
Public Rack - Kedvale Ave & Addison St,6,4
Public Rack - Eberhart Ave & 61st St,6,4
Public Rack - Oketo Ave & Belmont Ave,6,3
Western Ave & 105th St,6,3
Public Rack - Legler Regional Library,6,3
Sacramento Ave & Devon Ave,6,3
Public Rack - Central Park Ave & Ogden Ave,6,2
Public Rack - Ashland Ave & 45th St,6,1
Public Rack - Pulaski Rd & Roosevelt Rd,6,1
St Louis Ave & Berteau Ave,6,1
Central Ave & Corcoran Pl,6,1
Public Rack - Michele Clark Magnet High School,6,1
Public Rack - Ashland Ave & 91st St,6,1
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,6,1
California Ave & Pershing Rd,6,1
Public Rack - Kenneth Ave & 63rd St E,6,0
Kedzie Ave & Pershing Rd,6,0
Justine St & 87th St,6,0
Public Rack - Kedzie Ave & 61st Pl E,6,0
Mt Greenwood Library - South,6,0
Public Rack - Woodlawn Ave & 63rd St - NE,5,48
Pullman - Walmart,5,16
Woodlawn & 103rd - Olive Harvey Vaccination Site,5,9
Public Rack - Greenwood Ave & Lake Park Ave,5,6
Keystone Ave & Irving Park Rd,5,6
Hiawatha Park,5,4
California Ave & Devon Ave - NW,5,4
Laramie Ave & Grand Ave,5,3
Public Rack - Christiana Ave & Bryn Mawr Ave,5,3
Rockwell Ave & Touhy Ave ,5,3
S Wentworth Ave & W 111th St,5,2
Kostner Ave & North Ave,5,2
Public Rack - Francisco Ave & Touhy Ave,5,1
Kenneth Ave & 63rd St,5,1
N Shore Channel Trail & Argyle Ave,5,1
Public Rack - Stony Island & 87th St,5,1
Lafayette Ave & 119th St,5,0
Throop St & 58th St,5,0
Mackinaw Ave & 106th St,5,0
Homan Ave & 111th St,5,0
Public Rack - Midway Orange Line,5,0
Parkside Ave & Armitage Ave,5,0
Jeffrey Blvd & 71st St,5,0
Public Rack - Homan Ave & 26th St,5,0
Buffalo Ave & 89th St,5,0
Pullman - Ross Dress for Less,5,0
Public Rack - Ashland Ave & 83rd St,5,0
Harvard Ave & 103rd St,5,0
Cicero Ave & Wellington Ave,4,34
Nagle Ave & Belmont Ave,4,26
California Ave & Devon Ave - NE,4,12
Public Rack - Hyde Park Blvd & 55th St,4,11
Public Rack - Normal Ave & 111th St,4,10
532 E 43rd St,4,10
Cottage Grove Ave & 98th St,4,10
Racine Ave & 74th St,4,10
Cottage Grove Ave & 87th St,4,8
Cottage Grove & 86th St,4,7
Public Rack - Exchange Ave & 73rd Pl,4,6
Talman Ave & 51st St - midblock,4,5
Spaulding Ave & Bryn Mawr Ave,4,5
California Ave & Touhy Ave - NW,4,5
Public Rack - Pulaski Rd & Lake St,4,4
Public Rack - Tripp Ave & North Ave,4,4
Yates Blvd & Exchange Ave,4,3
Public Rack - Woodlawn Ave & 63rd St S,4,2
Calumet Ave & Garfield Blvd,4,2
Emerald Ave & 43rd St,4,2
Public Rack - Menard Ave & Belmont Ave,4,2
Public Rack - Latrobe Ave & Lake St,4,2
Commercial Ave & 89th St,4,2
Washtenaw Ave & 63rd St,4,2
Public Rack - Lawndale Ave & Polk St,4,2
Winchester Ave & 87th St,4,1
Kilbourn Ave & Fullerton Ave,4,1
63rd & Western Ave - south corner,4,1
Avenue J & 106th St,4,1
New England Ave & Grace St,4,0
Cicero Ave & North Ave,4,0
Austin Branch Chicago Public Library,4,0
Central Ave & Congress Pkwy,4,0
Public Rack - 10557 S Western Ave,4,0
Public Rack - Eggleston Ave & 115th St,4,0
Kildare Ave & 63rd St,4,0
Public Rack - Kedzie Ave & 61st Pl W,4,0
Harvard Ave & 119th St,4,0
Wallace St & 112 St,4,0
Public Rack - Karlov Ave & 26th St,4,0
State St & 47th st,4,0
Public Rack - Kedzie Ave & 60th St,4,0
Public Rack - Penn Elementary School / KIPP Ascend Middle School,3,28
Wilton Ave & Diversey Pkwy - Charging,3,15
Avers Ave & Irving Park Rd,3,11
Public Rack - King Dr & Oakwood Blvd,3,7
Menard Ave & Dakin St - midblock,3,6
Public Rack - Wood St & 47th St,3,5
Public Rack - Kedzie Ave & Chicago Ave,3,5
Narragansett Ave & Fullerton Ave,3,5
Public Rack - Prairie Ave & 47th St ,3,4
Kimball Ave & Carmen Ave,3,4
Public Rack - Austin Blvd & North Ave,3,4
Austin Ave & Wrightwood Ave,3,4
Harding Ave & 47th St,3,3
DIVVY CASSETTE REPAIR MOBILE STATION,3,3
Damen Ave & 47th St,3,3
Public Rack - Hamlin Ave & Madison St,3,3
Bishop St & 46th St,3,3
Public Rack - Paxton Ave & 79th St,3,2
Public Rack - Kostner Ave & Wrightwood Ave,3,2
Mackinaw Ave & 108th St,3,2
Walden Pkwy & 99th St,3,2
Martin Luther King Dr & 44th St,3,2
Cottage Grove & 85th St,3,2
Ozark Ave & Addison St,3,1
Halsted St & 95th St - SW,3,1
Public Rack - Pulaski & 52nd,3,1
Laflin St & 51st St,3,1
Wentworth Ave & 103rd St,3,1
Kedvale Ave & 63rd St,3,1
McCormick Blvd & Devon Ave,3,1
Public Rack - Kedzie Ave & 58th St,3,1
Public Rack - Western Ave & 110th St,3,1
Cicero Ave & Altgeld St,3,1
Public Rack - Austin Ave & Wellington Ave - midblock,3,1
Trumbull Ave & 111th St,3,0
Public Rack - Keeler Ave & 55th St,3,0
Public Rack - Cornell Ave & 87th Pl,3,0
Western Ave & 104th St - East,3,0
Ashland Ave & 45th St,3,0
Morgan St & 87th St,3,0
Public Rack - Western Ave & 107th Pl,3,0
Michigan Ave & 119th St,3,0
Public Rack - Hiawatha Park,3,0
Public Rack - Kildare Ave & North Ave,3,0
Stewart Ave & 123rd St,3,0
Public Rack - Western Ave & 100th St,3,0
Lafayette Ave & 87th St - SW,3,0
Rutherford Ave & Belmont Ave,3,0
Public Rack - Langley Ave & 49th St,3,0
Public Rack - Pulaski Rd & Grenshaw St,3,0
Public Rack - Kedzie Ave & 64th St - SW,3,0
111th St - Morgan Park Metra,3,0
Ellis Ave & 132nd Pl,3,0
S Michigan Ave & E 118th St,3,0
Cicero Ave & Cortland St - midblock,3,0
Public Rack - Jeffery Blvd & 81st St,3,0
Public Rack - Kedzie Ave & 63rd St,3,0
Public Rack - Langley Ave & Oakwood Blvd,3,0
Pullman Community Center,3,0
Public Rack - Pulaski Rd & 15th St,3,0
Public Rack - La Moyne Ave and Leamington Ave,3,0
Ewing Ave & 112th St,3,0
Pulaski Rd & 40th St,3,0
Cottage Grove Ave & 111th St,2,10
Public Rack - Walden Pkwy & 103rd St,2,9
Langley Ave & 79th St,2,9
Public Rack - Hyde Park Blvd & 53rd St,2,8
Claremont Ave & 71st St,2,7
Cottage Grove Ave & 75th St,2,6
Public Rack - Central Park Ave & Fillmore St,2,5
California Ave & 29th St,2,5
Ashland Ave & 71st St,2,4
Marshfield Ave & 45th St,2,3
Public Rack - Central Ave & Corcoran Pl,2,3
Ashland Ave & 45th St - midblock south,2,3
Waller Ave & Chicago Ave,2,3
Public Rack - Rockwell & 111th St,2,3
Hamlin Ave & Chicago Ave,2,3
Sawyer Ave & Lawrence Ave,2,3
Public Rack - Stewart Ave & 123rd St,2,3
Public Rack - Lafayette Ave & 95th St,2,3
Public Rack - Foster Ave & Drake Ave,2,3
Chappel Ave & 71st St,2,2
Harper Ave & 63rd St,2,2
Ewing Ave & 96th St,2,2
Public Rack - Chase Ave & Touhy Ave - NW,2,2
Public Rack - Peterson Ave & Bernard Ave,2,2
Houston Ave & 91st St,2,2
Public Rack - Harvey Ave & North Ave,2,2
Public Rack - 111th St - Morgan Park Metra,2,2
10101 S Stony Island Ave,2,2
Public Rack - California Ave & Touhy Ave - SW,2,2
Ingleside Ave & 79th St,2,1
Maryland Ave & 87th ST,2,1
Public Rack - Austin Ave & Wellington Ave,2,1
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,2,1
Public Rack - Kedvale Ave & 26th St,2,1
Halsted St & 64th St,2,1
Public Rack - Laporte Ave & Armitage Ave,2,1
Avenue J & 112th St,2,1
Ewing Ave & 101st St,2,1
Public Rack - N Narragansett Ave & Grand Ave,2,1
Public Rack - Milwaukee Ave & Waveland Ave,2,1
Public Rack - Sawyer Ave & Chicago Ave,2,1
Public Rack - Robert Fulton Elementary School,2,1
Public Rack - Percy Julian HS,2,1
Keeler Ave & Madison St,2,1
Calumet Ave & 103rd St,2,0
Halsted St & 80th St,2,0
Public Rack - Western Ave & 98th St,2,0
Christiana Ave & 111th St,2,0
Public Rack - Wallace St & 119th St,2,0
Pullman - Planet Fitness,2,0
Back of the Yards Park,2,0
Public Rack - Ewing Ave & 96th St N,2,0
Mt Greenwood Library - North,2,0
Public Rack - Garfield Park Conservatory,2,0
Lawrence Ave & 103rd St,2,0
Public Rack - Lamon Ave & Erie St,2,0
Public Rack - Central Park Ave & Fulton Blvd,2,0
Public Rack - Ewing Ave & 107th St,2,0
Public Rack - Keeler Ave & 26th St,2,0
Keeler Ave & 55th St,2,0
California Ave & Ogden Ave,2,0
Cottage Grove Ave & 92nd St,2,0
Public Rack - Lawndale & 63rd St,2,0
Public Rack - Western Ave & 105th St,2,0
Public Rack - Hoyne Ave & 51st St,2,0
Nordica Ave & Addison St,2,0
Oleander Ave & Addison St,2,0
Public Rack - Avers Ave & Archer Ave,2,0
Pittsburgh Ave & Irving Park,2,0
Public Rack - Abbott Park,2,0
Champlain Ave & 134th St,2,0
Public Rack - Marshfield Ave & 45th St,2,0
Public Rack - King Dr & 71st St,2,0
Public Rack - Racine Ave & 74th St,2,0
Mason Ave & Roosevelt Rd,2,0
Public Rack - Kildare Ave & Division Ave,2,0
Public Rack - Pulaski Rd & 51st Rd,2,0
Newland Ave & Diversey Ave,2,0
Grand Ave & North Ave,2,0
Kedzie Ave & 64th St - SE,2,0
Public Rack - Walden Pkwy & 99th St,2,0
Eggleston Ave & 115th St,2,0
Halsted St & 95th St - SE,2,0
Keeler Ave & 26th St,2,0
Princeton Ave & 43rd St,2,0
Martin Luther King Dr & 69th St,2,0
Lake Park Ave & 44th St,2,0
Public Rack - Whipple St & 26th St,2,0
Plainfield Ave & Irving Park Rd,2,0
Public Rack - Lorel Ave & Chicago Ave,2,0
Public Rack - Vincennes Ave & 95th St,2,0
Public Rack - Ashland Ave & 63rd St,2,0
Kimbark Ave & 63rd St,2,0
Halsted St & 41st St,2,0
Public Rack - King Dr & 115th St,1,29
Public Rack - Loomis St & 87th St,1,23
Public Rack - Nagle Ave & Belmont Ave,1,22
Public Rack - Evans Ave & 63rd St,1,19
Public Rack - Kimbark Ave & 67th St,1,15
Public Rack - Fairfield Ave & 63rd St,1,13
Public Rack - Brainerd Park,1,12
Morgan St & 95th St,1,12
Public Rack - Christiana Ave & Archer Ave,1,12
Brandon Ave & 91st St,1,10
Public Rack - Pullman - Walmart,1,9
Laramie Ave & Belmont Ave,1,7
Central Ave & George St,1,7
Public Rack - Kedzie Ave & 54th St - SE,1,6
Public Rack - Hoyne Ave & 110th Pl,1,6
Public Rack - Fullerton Ave & Lavergne Ave,1,6
Forrestville Ave & 47th St,1,5
S Aberdeen St & W 106th St,1,4
Public Rack - Cicero Ave & Le Moyne St - midblock,1,4
Perry Ave & 108th Pl,1,3
Stony Is Ave & 73rd St,1,3
Sawyer Ave & 111th St,1,3
Public Rack - Kedzie Ave & 62nd Pl,1,3
Public Rack - Peterson Ave & Drake Ave,1,3
Menard Ave & Agusta Blvd,1,3
Public Rack - California Ave & Pershing Rd,1,3
McVicker Ave & Grand Ave,1,3
Albany Ave & 111th St - NW,1,2
Public Rack - Roswell B. Mason Elementary School,1,2
Halsted St & 76th St,1,2
Public Rack - Vincennes Ave & 77th St,1,2
Sawyer Ave & Bryn Mawr Ave - SE,1,2
Public Rack - Neva Ave & Grand Ave,1,2
Colfax Ave & 83rd St,1,2
Longwood Dr & 111th St,1,2
Brighton Park Branch Chicago Library,1,2
Public Rack - Michigan Ave & 107th St,1,2
Bennett Ave & 96th St,1,1
Public Rack - McVicker Ave & Grand Ave,1,1
Public Rack - Halsted St & 63rd St,1,1
Public Rack - Kedzie Ave & 54th St - SW,1,1
Public Rack - Kedzie Ave & 54th Pl,1,1
Public Rack - May St & 78th St,1,1
Ashland Ave & 46th St,1,1
Public Rack - Komensky Ave & 63rd St,1,1
Park Manor Elementary School,1,1
Cottage Grove Ave & 91st St,1,1
Public Rack - Western Ave & 107th St,1,1
Public Rack - Western Ave & 118th St,1,1
Michigan Ave & 113th St,1,1
Public Rack - Menard Ave & Agusta Blvd,1,1
Public Rack - Ewing Ave & 106th St,1,1
Emerald Ave & 45th St,1,1
Baltimore Ave & 133rd St,1,1
Melvina Ave & Belmont Ave,1,1
Public Rack - Green St & 103rd St,1,1
Muskegon Ave & 89th St,1,1
Lorel Ave & Chicago Ave,1,1
Menard Ave & Grand Ave,1,1
Ewing Ave & 106th St,1,1
Canty Elementary School,1,1
Public Rack - Pulaski Rd & 40th St,1,1
Public Rack - Division St & Christiana Ave,1,1
Public Rack - Kedzie Ave & Walnut St,1,1
Public Rack - Maplewood Ave & 47th St,1,1
Spaulding Ave & Foster Ave,1,1
Menard Ave & Belmont Ave,1,1
Marshfield Ave & 87th St,1,1
Albany Ave & 103rd St,1,1
Michigan Ave & 110th St,1,1
Public Rack - Kingston Ave & 75th St,1,1
Sacramento Blvd & Washington Blvd,1,1
Public Rack - St Louis Ave & Flournoy St,1,1
Public Rack - Wood St & 103rd St,1,1
Public Rack - Forrestville Ave & 47th St,1,1
Chopin Park,1,0
Public Rack - Kostner Ave & Lake St,1,0
Public Rack - Keef Ave & South Chicago Ave,1,0
Orville T Bright School,1,0
Ada St & 117th St,1,0
Western Ave & 106th St - West,1,0
Austin Ave & Roscoe St,1,0
Public Rack - Champlain Ave & 134th St,1,0
Yale Ave & 119th St,1,0
Kildare Ave & Washignton Blvd,1,0
Green St & 103rd St,1,0
Public Rack - Ada St & 79th St,1,0
Kedzie & 103rd St - West,1,0
Public Rack - Western Ave & 92nd Pl,1,0
Public Rack - Prairie Ave & Garfield Blvd N,1,0
Public Rack - Chappel Ave & 71st St,1,0
Kildare Ave & Division Ave,1,0
Public Rack - Western Ave & 111th St - NW,1,0
Public Rack - Rutherford Ave & Belmont Ave,1,0
Public Rack - Clyde Ave & 87th St,1,0
Legler Regional Library,1,0
Public Rack - Ave L & 105th St,1,0
Hamilton Park,1,0
Public Rack - Oakley Ave & 50th Pl,1,0
Public Rack - Christiana Ave & 111th St,1,0
Public Rack - Piotrowski Park,1,0
Torrence Ave & 98th St,1,0
Honore St & 87th St - SE,1,0
Public Rack - Harding Ave & 47th St,1,0
Public Rack - Kedzie & 103rd St - East,1,0
Public Rack - Pulaski Rd & Polk St,1,0
Vincennes Ave & 87th St,1,0
Homan Ave & 26th St,1,0
Kedzie & 103rd St - East,1,0
