user_type,trip_time,no_of_user,avg_ride_length,day_of_week
member,2022 10,29852,00:10:52,3
member,2022 10,36328,00:11:08,4
member,2022 10,36205,00:10:57,5
member,2022 10,32727,00:11:41,6
member,2022 10,41864,00:13:40,7
casual,2022 11,9123,00:20:23,1
casual,2022 11,7239,00:15:00,2
casual,2022 11,11176,00:15:25,3
casual,2022 11,12577,00:16:19,4
casual,2022 11,13264,00:18:27,5
casual,2022 11,10457,00:17:34,6
casual,2022 11,8548,00:18:46,7
member,2022 11,15680,00:11:45,1
member,2022 11,24900,00:10:37,2
member,2022 11,35036,00:10:42,3
member,2022 11,36094,00:10:52,4
member,2022 11,29695,00:11:27,5
member,2022 11,22704,00:10:57,6
member,2022 11,14669,00:11:01,7
